2019-09-09 16:02:16,632 - Saving N = 4, h = 0.44, Delta = 0.9693877551020408, J = 0, t=1
2019-09-09 16:02:16,676 - Successful N = 4, h = 0.44, Delta = 0.9897959183673469, J = 0, t=1
2019-09-09 16:02:16,676 - Saving N = 4, h = 0.44, Delta = 0.9897959183673469, J = 0, t=1
2019-09-09 16:02:16,720 - Successful N = 4, h = 0.44, Delta = 1.010204081632653, J = 0, t=1
2019-09-09 16:02:16,720 - Saving N = 4, h = 0.44, Delta = 1.010204081632653, J = 0, t=1
2019-09-09 16:02:16,763 - Successful N = 4, h = 0.44, Delta = 1.030612244897959, J = 0, t=1
2019-09-09 16:02:16,764 - Saving N = 4, h = 0.44, Delta = 1.030612244897959, J = 0, t=1
2019-09-09 16:02:16,807 - Successful N = 4, h = 0.44, Delta = 1.0510204081632653, J = 0, t=1
2019-09-09 16:02:16,807 - Saving N = 4, h = 0.44, Delta = 1.0510204081632653, J = 0, t=1
2019-09-09 16:02:16,852 - Successful N = 4, h = 0.44, Delta = 1.0714285714285714, J = 0, t=1
2019-09-09 16:02:16,852 - Saving N = 4, h = 0.44, Delta = 1.0714285714285714, J = 0, t=1
2019-09-09 16:02:16,897 - Successful N = 4, h = 0.44, Delta = 1.0918367346938775, J = 0, t=1
2019-09-09 16:02:16,897 - Saving N = 4, h = 0.44, Delta = 1.0918367346938775, J = 0, t=1
2019-09-09 16:02:16,942 - Successful N = 4, h = 0.44, Delta = 1.1122448979591835, J = 0, t=1
2019-09-09 16:02:16,942 - Saving N = 4, h = 0.44, Delta = 1.1122448979591835, J = 0, t=1
2019-09-09 16:02:16,986 - Successful N = 4, h = 0.44, Delta = 1.1326530612244898, J = 0, t=1
2019-09-09 16:02:16,986 - Saving N = 4, h = 0.44, Delta = 1.1326530612244898, J = 0, t=1
2019-09-09 16:02:17,030 - Successful N = 4, h = 0.44, Delta = 1.1530612244897958, J = 0, t=1
2019-09-09 16:02:17,030 - Saving N = 4, h = 0.44, Delta = 1.1530612244897958, J = 0, t=1
2019-09-09 16:02:17,074 - Successful N = 4, h = 0.44, Delta = 1.1734693877551021, J = 0, t=1
2019-09-09 16:02:17,074 - Saving N = 4, h = 0.44, Delta = 1.1734693877551021, J = 0, t=1
2019-09-09 16:02:17,118 - Successful N = 4, h = 0.44, Delta = 1.193877551020408, J = 0, t=1
2019-09-09 16:02:17,118 - Saving N = 4, h = 0.44, Delta = 1.193877551020408, J = 0, t=1
2019-09-09 16:02:17,162 - Successful N = 4, h = 0.44, Delta = 1.2142857142857142, J = 0, t=1
2019-09-09 16:02:17,162 - Saving N = 4, h = 0.44, Delta = 1.2142857142857142, J = 0, t=1
2019-09-09 16:02:17,206 - Successful N = 4, h = 0.44, Delta = 1.2346938775510203, J = 0, t=1
2019-09-09 16:02:17,206 - Saving N = 4, h = 0.44, Delta = 1.2346938775510203, J = 0, t=1
2019-09-09 16:02:17,250 - Successful N = 4, h = 0.44, Delta = 1.2551020408163265, J = 0, t=1
2019-09-09 16:02:17,251 - Saving N = 4, h = 0.44, Delta = 1.2551020408163265, J = 0, t=1
2019-09-09 16:02:17,295 - Successful N = 4, h = 0.44, Delta = 1.2755102040816326, J = 0, t=1
2019-09-09 16:02:17,295 - Saving N = 4, h = 0.44, Delta = 1.2755102040816326, J = 0, t=1
2019-09-09 16:02:17,345 - Successful N = 4, h = 0.44, Delta = 1.2959183673469385, J = 0, t=1
2019-09-09 16:02:17,345 - Saving N = 4, h = 0.44, Delta = 1.2959183673469385, J = 0, t=1
2019-09-09 16:02:17,390 - Successful N = 4, h = 0.44, Delta = 1.316326530612245, J = 0, t=1
2019-09-09 16:02:17,390 - Saving N = 4, h = 0.44, Delta = 1.316326530612245, J = 0, t=1
2019-09-09 16:02:17,439 - Successful N = 4, h = 0.44, Delta = 1.3367346938775508, J = 0, t=1
2019-09-09 16:02:17,440 - Saving N = 4, h = 0.44, Delta = 1.3367346938775508, J = 0, t=1
2019-09-09 16:02:17,490 - Successful N = 4, h = 0.44, Delta = 1.3571428571428572, J = 0, t=1
2019-09-09 16:02:17,490 - Saving N = 4, h = 0.44, Delta = 1.3571428571428572, J = 0, t=1
2019-09-09 16:02:17,541 - Successful N = 4, h = 0.44, Delta = 1.3775510204081631, J = 0, t=1
2019-09-09 16:02:17,541 - Saving N = 4, h = 0.44, Delta = 1.3775510204081631, J = 0, t=1
2019-09-09 16:02:17,592 - Successful N = 4, h = 0.44, Delta = 1.3979591836734693, J = 0, t=1
2019-09-09 16:02:17,592 - Saving N = 4, h = 0.44, Delta = 1.3979591836734693, J = 0, t=1
2019-09-09 16:02:17,644 - Successful N = 4, h = 0.44, Delta = 1.4183673469387754, J = 0, t=1
2019-09-09 16:02:17,644 - Saving N = 4, h = 0.44, Delta = 1.4183673469387754, J = 0, t=1
2019-09-09 16:02:17,695 - Successful N = 4, h = 0.44, Delta = 1.4387755102040816, J = 0, t=1
2019-09-09 16:02:17,695 - Saving N = 4, h = 0.44, Delta = 1.4387755102040816, J = 0, t=1
2019-09-09 16:02:17,745 - Successful N = 4, h = 0.44, Delta = 1.4591836734693877, J = 0, t=1
2019-09-09 16:02:17,745 - Saving N = 4, h = 0.44, Delta = 1.4591836734693877, J = 0, t=1
2019-09-09 16:02:17,796 - Successful N = 4, h = 0.44, Delta = 1.4795918367346939, J = 0, t=1
2019-09-09 16:02:17,796 - Saving N = 4, h = 0.44, Delta = 1.4795918367346939, J = 0, t=1
2019-09-09 16:02:17,847 - Successful N = 4, h = 0.44, Delta = 1.5, J = 0, t=1
2019-09-09 16:02:17,847 - Saving N = 4, h = 0.44, Delta = 1.5, J = 0, t=1
2019-09-09 16:02:17,912 - Successful N = 5, h = 0.44, Delta = 0.5, J = 0, t=1
2019-09-09 16:02:17,912 - Saving N = 5, h = 0.44, Delta = 0.5, J = 0, t=1
2019-09-09 16:02:17,976 - Successful N = 5, h = 0.44, Delta = 0.5204081632653061, J = 0, t=1
2019-09-09 16:02:17,976 - Saving N = 5, h = 0.44, Delta = 0.5204081632653061, J = 0, t=1
2019-09-09 16:02:18,039 - Successful N = 5, h = 0.44, Delta = 0.5408163265306123, J = 0, t=1
2019-09-09 16:02:18,039 - Saving N = 5, h = 0.44, Delta = 0.5408163265306123, J = 0, t=1
2019-09-09 16:02:18,102 - Successful N = 5, h = 0.44, Delta = 0.5612244897959183, J = 0, t=1
2019-09-09 16:02:18,103 - Saving N = 5, h = 0.44, Delta = 0.5612244897959183, J = 0, t=1
2019-09-09 16:02:18,166 - Successful N = 5, h = 0.44, Delta = 0.5816326530612245, J = 0, t=1
2019-09-09 16:02:18,166 - Saving N = 5, h = 0.44, Delta = 0.5816326530612245, J = 0, t=1
2019-09-09 16:02:18,229 - Successful N = 5, h = 0.44, Delta = 0.6020408163265306, J = 0, t=1
2019-09-09 16:02:18,229 - Saving N = 5, h = 0.44, Delta = 0.6020408163265306, J = 0, t=1
2019-09-09 16:02:18,293 - Successful N = 5, h = 0.44, Delta = 0.6224489795918368, J = 0, t=1
2019-09-09 16:02:18,293 - Saving N = 5, h = 0.44, Delta = 0.6224489795918368, J = 0, t=1
2019-09-09 16:02:18,356 - Successful N = 5, h = 0.44, Delta = 0.6428571428571428, J = 0, t=1
2019-09-09 16:02:18,356 - Saving N = 5, h = 0.44, Delta = 0.6428571428571428, J = 0, t=1
2019-09-09 16:02:18,419 - Successful N = 5, h = 0.44, Delta = 0.6632653061224489, J = 0, t=1
2019-09-09 16:02:18,419 - Saving N = 5, h = 0.44, Delta = 0.6632653061224489, J = 0, t=1
2019-09-09 16:02:18,485 - Successful N = 5, h = 0.44, Delta = 0.6836734693877551, J = 0, t=1
2019-09-09 16:02:18,485 - Saving N = 5, h = 0.44, Delta = 0.6836734693877551, J = 0, t=1
2019-09-09 16:02:18,550 - Successful N = 5, h = 0.44, Delta = 0.7040816326530612, J = 0, t=1
2019-09-09 16:02:18,550 - Saving N = 5, h = 0.44, Delta = 0.7040816326530612, J = 0, t=1
2019-09-09 16:02:18,616 - Successful N = 5, h = 0.44, Delta = 0.7244897959183674, J = 0, t=1
2019-09-09 16:02:18,616 - Saving N = 5, h = 0.44, Delta = 0.7244897959183674, J = 0, t=1
2019-09-09 16:02:18,685 - Successful N = 5, h = 0.44, Delta = 0.7448979591836735, J = 0, t=1
2019-09-09 16:02:18,685 - Saving N = 5, h = 0.44, Delta = 0.7448979591836735, J = 0, t=1
2019-09-09 16:02:18,752 - Successful N = 5, h = 0.44, Delta = 0.7653061224489796, J = 0, t=1
2019-09-09 16:02:18,752 - Saving N = 5, h = 0.44, Delta = 0.7653061224489796, J = 0, t=1
2019-09-09 16:02:18,818 - Successful N = 5, h = 0.44, Delta = 0.7857142857142857, J = 0, t=1
2019-09-09 16:02:18,818 - Saving N = 5, h = 0.44, Delta = 0.7857142857142857, J = 0, t=1
2019-09-09 16:02:18,895 - Successful N = 5, h = 0.44, Delta = 0.8061224489795917, J = 0, t=1
2019-09-09 16:02:18,895 - Saving N = 5, h = 0.44, Delta = 0.8061224489795917, J = 0, t=1
2019-09-09 16:02:18,962 - Successful N = 5, h = 0.44, Delta = 0.8265306122448979, J = 0, t=1
2019-09-09 16:02:18,962 - Saving N = 5, h = 0.44, Delta = 0.8265306122448979, J = 0, t=1
2019-09-09 16:02:19,027 - Successful N = 5, h = 0.44, Delta = 0.846938775510204, J = 0, t=1
2019-09-09 16:02:19,027 - Saving N = 5, h = 0.44, Delta = 0.846938775510204, J = 0, t=1
2019-09-09 16:02:19,093 - Successful N = 5, h = 0.44, Delta = 0.8673469387755102, J = 0, t=1
2019-09-09 16:02:19,093 - Saving N = 5, h = 0.44, Delta = 0.8673469387755102, J = 0, t=1
2019-09-09 16:02:19,159 - Successful N = 5, h = 0.44, Delta = 0.8877551020408163, J = 0, t=1
2019-09-09 16:02:19,159 - Saving N = 5, h = 0.44, Delta = 0.8877551020408163, J = 0, t=1
2019-09-09 16:02:19,233 - Successful N = 5, h = 0.44, Delta = 0.9081632653061225, J = 0, t=1
2019-09-09 16:02:19,233 - Saving N = 5, h = 0.44, Delta = 0.9081632653061225, J = 0, t=1
2019-09-09 16:02:19,299 - Successful N = 5, h = 0.44, Delta = 0.9285714285714286, J = 0, t=1
2019-09-09 16:02:19,299 - Saving N = 5, h = 0.44, Delta = 0.9285714285714286, J = 0, t=1
2019-09-09 16:02:19,365 - Successful N = 5, h = 0.44, Delta = 0.9489795918367346, J = 0, t=1
2019-09-09 16:02:19,365 - Saving N = 5, h = 0.44, Delta = 0.9489795918367346, J = 0, t=1
2019-09-09 16:02:19,434 - Successful N = 5, h = 0.44, Delta = 0.9693877551020408, J = 0, t=1
2019-09-09 16:02:19,434 - Saving N = 5, h = 0.44, Delta = 0.9693877551020408, J = 0, t=1
2019-09-09 16:02:19,500 - Successful N = 5, h = 0.44, Delta = 0.9897959183673469, J = 0, t=1
2019-09-09 16:02:19,500 - Saving N = 5, h = 0.44, Delta = 0.9897959183673469, J = 0, t=1
2019-09-09 16:02:19,569 - Successful N = 5, h = 0.44, Delta = 1.010204081632653, J = 0, t=1
2019-09-09 16:02:19,569 - Saving N = 5, h = 0.44, Delta = 1.010204081632653, J = 0, t=1
2019-09-09 16:02:19,637 - Successful N = 5, h = 0.44, Delta = 1.030612244897959, J = 0, t=1
2019-09-09 16:02:19,637 - Saving N = 5, h = 0.44, Delta = 1.030612244897959, J = 0, t=1
2019-09-09 16:02:19,705 - Successful N = 5, h = 0.44, Delta = 1.0510204081632653, J = 0, t=1
2019-09-09 16:02:19,705 - Saving N = 5, h = 0.44, Delta = 1.0510204081632653, J = 0, t=1
2019-09-09 16:02:19,773 - Successful N = 5, h = 0.44, Delta = 1.0714285714285714, J = 0, t=1
2019-09-09 16:02:19,773 - Saving N = 5, h = 0.44, Delta = 1.0714285714285714, J = 0, t=1
2019-09-09 16:02:19,841 - Successful N = 5, h = 0.44, Delta = 1.0918367346938775, J = 0, t=1
2019-09-09 16:02:19,841 - Saving N = 5, h = 0.44, Delta = 1.0918367346938775, J = 0, t=1
2019-09-09 16:02:19,911 - Successful N = 5, h = 0.44, Delta = 1.1122448979591835, J = 0, t=1
2019-09-09 16:02:19,912 - Saving N = 5, h = 0.44, Delta = 1.1122448979591835, J = 0, t=1
2019-09-09 16:02:19,980 - Successful N = 5, h = 0.44, Delta = 1.1326530612244898, J = 0, t=1
2019-09-09 16:02:19,980 - Saving N = 5, h = 0.44, Delta = 1.1326530612244898, J = 0, t=1
2019-09-09 16:02:20,048 - Successful N = 5, h = 0.44, Delta = 1.1530612244897958, J = 0, t=1
2019-09-09 16:02:20,048 - Saving N = 5, h = 0.44, Delta = 1.1530612244897958, J = 0, t=1
2019-09-09 16:02:20,116 - Successful N = 5, h = 0.44, Delta = 1.1734693877551021, J = 0, t=1
2019-09-09 16:02:20,116 - Saving N = 5, h = 0.44, Delta = 1.1734693877551021, J = 0, t=1
2019-09-09 16:02:20,184 - Successful N = 5, h = 0.44, Delta = 1.193877551020408, J = 0, t=1
2019-09-09 16:02:20,184 - Saving N = 5, h = 0.44, Delta = 1.193877551020408, J = 0, t=1
2019-09-09 16:02:20,252 - Successful N = 5, h = 0.44, Delta = 1.2142857142857142, J = 0, t=1
2019-09-09 16:02:20,252 - Saving N = 5, h = 0.44, Delta = 1.2142857142857142, J = 0, t=1
2019-09-09 16:02:20,322 - Successful N = 5, h = 0.44, Delta = 1.2346938775510203, J = 0, t=1
2019-09-09 16:02:20,322 - Saving N = 5, h = 0.44, Delta = 1.2346938775510203, J = 0, t=1
2019-09-09 16:02:20,392 - Successful N = 5, h = 0.44, Delta = 1.2551020408163265, J = 0, t=1
2019-09-09 16:02:20,392 - Saving N = 5, h = 0.44, Delta = 1.2551020408163265, J = 0, t=1
2019-09-09 16:02:20,463 - Successful N = 5, h = 0.44, Delta = 1.2755102040816326, J = 0, t=1
2019-09-09 16:02:20,463 - Saving N = 5, h = 0.44, Delta = 1.2755102040816326, J = 0, t=1
2019-09-09 16:02:20,533 - Successful N = 5, h = 0.44, Delta = 1.2959183673469385, J = 0, t=1
2019-09-09 16:02:20,533 - Saving N = 5, h = 0.44, Delta = 1.2959183673469385, J = 0, t=1
2019-09-09 16:02:20,609 - Successful N = 5, h = 0.44, Delta = 1.316326530612245, J = 0, t=1
2019-09-09 16:02:20,609 - Saving N = 5, h = 0.44, Delta = 1.316326530612245, J = 0, t=1
2019-09-09 16:02:20,684 - Successful N = 5, h = 0.44, Delta = 1.3367346938775508, J = 0, t=1
2019-09-09 16:02:20,684 - Saving N = 5, h = 0.44, Delta = 1.3367346938775508, J = 0, t=1
2019-09-09 16:02:20,771 - Successful N = 5, h = 0.44, Delta = 1.3571428571428572, J = 0, t=1
2019-09-09 16:02:20,771 - Saving N = 5, h = 0.44, Delta = 1.3571428571428572, J = 0, t=1
2019-09-09 16:02:20,842 - Successful N = 5, h = 0.44, Delta = 1.3775510204081631, J = 0, t=1
2019-09-09 16:02:20,842 - Saving N = 5, h = 0.44, Delta = 1.3775510204081631, J = 0, t=1
2019-09-09 16:02:20,921 - Successful N = 5, h = 0.44, Delta = 1.3979591836734693, J = 0, t=1
2019-09-09 16:02:20,921 - Saving N = 5, h = 0.44, Delta = 1.3979591836734693, J = 0, t=1
2019-09-09 16:02:20,993 - Successful N = 5, h = 0.44, Delta = 1.4183673469387754, J = 0, t=1
2019-09-09 16:02:20,993 - Saving N = 5, h = 0.44, Delta = 1.4183673469387754, J = 0, t=1
2019-09-09 16:02:21,064 - Successful N = 5, h = 0.44, Delta = 1.4387755102040816, J = 0, t=1
2019-09-09 16:02:21,064 - Saving N = 5, h = 0.44, Delta = 1.4387755102040816, J = 0, t=1
2019-09-09 16:02:21,135 - Successful N = 5, h = 0.44, Delta = 1.4591836734693877, J = 0, t=1
2019-09-09 16:02:21,135 - Saving N = 5, h = 0.44, Delta = 1.4591836734693877, J = 0, t=1
2019-09-09 16:02:21,205 - Successful N = 5, h = 0.44, Delta = 1.4795918367346939, J = 0, t=1
2019-09-09 16:02:21,206 - Saving N = 5, h = 0.44, Delta = 1.4795918367346939, J = 0, t=1
2019-09-09 16:02:21,277 - Successful N = 5, h = 0.44, Delta = 1.5, J = 0, t=1
2019-09-09 16:02:21,277 - Saving N = 5, h = 0.44, Delta = 1.5, J = 0, t=1
2019-09-09 16:02:21,389 - Successful N = 6, h = 0.44, Delta = 0.5, J = 0, t=1
2019-09-09 16:02:21,389 - Saving N = 6, h = 0.44, Delta = 0.5, J = 0, t=1
2019-09-09 16:02:21,500 - Successful N = 6, h = 0.44, Delta = 0.5204081632653061, J = 0, t=1
2019-09-09 16:02:21,500 - Saving N = 6, h = 0.44, Delta = 0.5204081632653061, J = 0, t=1
2019-09-09 16:02:21,611 - Successful N = 6, h = 0.44, Delta = 0.5408163265306123, J = 0, t=1
2019-09-09 16:02:21,611 - Saving N = 6, h = 0.44, Delta = 0.5408163265306123, J = 0, t=1
2019-09-09 16:02:21,722 - Successful N = 6, h = 0.44, Delta = 0.5612244897959183, J = 0, t=1
2019-09-09 16:02:21,722 - Saving N = 6, h = 0.44, Delta = 0.5612244897959183, J = 0, t=1
2019-09-09 16:02:21,833 - Successful N = 6, h = 0.44, Delta = 0.5816326530612245, J = 0, t=1
2019-09-09 16:02:21,833 - Saving N = 6, h = 0.44, Delta = 0.5816326530612245, J = 0, t=1
2019-09-09 16:02:21,947 - Successful N = 6, h = 0.44, Delta = 0.6020408163265306, J = 0, t=1
2019-09-09 16:02:21,947 - Saving N = 6, h = 0.44, Delta = 0.6020408163265306, J = 0, t=1
2019-09-09 16:02:22,059 - Successful N = 6, h = 0.44, Delta = 0.6224489795918368, J = 0, t=1
2019-09-09 16:02:22,059 - Saving N = 6, h = 0.44, Delta = 0.6224489795918368, J = 0, t=1
2019-09-09 16:02:22,170 - Successful N = 6, h = 0.44, Delta = 0.6428571428571428, J = 0, t=1
2019-09-09 16:02:22,170 - Saving N = 6, h = 0.44, Delta = 0.6428571428571428, J = 0, t=1
2019-09-09 16:02:22,280 - Successful N = 6, h = 0.44, Delta = 0.6632653061224489, J = 0, t=1
2019-09-09 16:02:22,280 - Saving N = 6, h = 0.44, Delta = 0.6632653061224489, J = 0, t=1
2019-09-09 16:02:22,390 - Successful N = 6, h = 0.44, Delta = 0.6836734693877551, J = 0, t=1
2019-09-09 16:02:22,390 - Saving N = 6, h = 0.44, Delta = 0.6836734693877551, J = 0, t=1
2019-09-09 16:02:22,505 - Successful N = 6, h = 0.44, Delta = 0.7040816326530612, J = 0, t=1
2019-09-09 16:02:22,505 - Saving N = 6, h = 0.44, Delta = 0.7040816326530612, J = 0, t=1
2019-09-09 16:02:22,616 - Successful N = 6, h = 0.44, Delta = 0.7244897959183674, J = 0, t=1
2019-09-09 16:02:22,616 - Saving N = 6, h = 0.44, Delta = 0.7244897959183674, J = 0, t=1
2019-09-09 16:02:22,727 - Successful N = 6, h = 0.44, Delta = 0.7448979591836735, J = 0, t=1
2019-09-09 16:02:22,727 - Saving N = 6, h = 0.44, Delta = 0.7448979591836735, J = 0, t=1
2019-09-09 16:02:22,844 - Successful N = 6, h = 0.44, Delta = 0.7653061224489796, J = 0, t=1
2019-09-09 16:02:22,844 - Saving N = 6, h = 0.44, Delta = 0.7653061224489796, J = 0, t=1
2019-09-09 16:02:22,962 - Successful N = 6, h = 0.44, Delta = 0.7857142857142857, J = 0, t=1
2019-09-09 16:02:22,962 - Saving N = 6, h = 0.44, Delta = 0.7857142857142857, J = 0, t=1
2019-09-09 16:02:23,078 - Successful N = 6, h = 0.44, Delta = 0.8061224489795917, J = 0, t=1
2019-09-09 16:02:23,078 - Saving N = 6, h = 0.44, Delta = 0.8061224489795917, J = 0, t=1
2019-09-09 16:02:23,193 - Successful N = 6, h = 0.44, Delta = 0.8265306122448979, J = 0, t=1
2019-09-09 16:02:23,193 - Saving N = 6, h = 0.44, Delta = 0.8265306122448979, J = 0, t=1
2019-09-09 16:02:23,309 - Successful N = 6, h = 0.44, Delta = 0.846938775510204, J = 0, t=1
2019-09-09 16:02:23,309 - Saving N = 6, h = 0.44, Delta = 0.846938775510204, J = 0, t=1
2019-09-09 16:02:23,424 - Successful N = 6, h = 0.44, Delta = 0.8673469387755102, J = 0, t=1
2019-09-09 16:02:23,424 - Saving N = 6, h = 0.44, Delta = 0.8673469387755102, J = 0, t=1
2019-09-09 16:02:23,539 - Successful N = 6, h = 0.44, Delta = 0.8877551020408163, J = 0, t=1
2019-09-09 16:02:23,539 - Saving N = 6, h = 0.44, Delta = 0.8877551020408163, J = 0, t=1
2019-09-09 16:02:23,655 - Successful N = 6, h = 0.44, Delta = 0.9081632653061225, J = 0, t=1
2019-09-09 16:02:23,655 - Saving N = 6, h = 0.44, Delta = 0.9081632653061225, J = 0, t=1
2019-09-09 16:02:23,776 - Successful N = 6, h = 0.44, Delta = 0.9285714285714286, J = 0, t=1
2019-09-09 16:02:23,776 - Saving N = 6, h = 0.44, Delta = 0.9285714285714286, J = 0, t=1
2019-09-09 16:02:23,893 - Successful N = 6, h = 0.44, Delta = 0.9489795918367346, J = 0, t=1
2019-09-09 16:02:23,893 - Saving N = 6, h = 0.44, Delta = 0.9489795918367346, J = 0, t=1
2019-09-09 16:02:24,011 - Successful N = 6, h = 0.44, Delta = 0.9693877551020408, J = 0, t=1
2019-09-09 16:02:24,011 - Saving N = 6, h = 0.44, Delta = 0.9693877551020408, J = 0, t=1
2019-09-09 16:02:24,131 - Successful N = 6, h = 0.44, Delta = 0.9897959183673469, J = 0, t=1
2019-09-09 16:02:24,131 - Saving N = 6, h = 0.44, Delta = 0.9897959183673469, J = 0, t=1
2019-09-09 16:02:24,251 - Successful N = 6, h = 0.44, Delta = 1.010204081632653, J = 0, t=1
2019-09-09 16:02:24,251 - Saving N = 6, h = 0.44, Delta = 1.010204081632653, J = 0, t=1
2019-09-09 16:02:24,367 - Successful N = 6, h = 0.44, Delta = 1.030612244897959, J = 0, t=1
2019-09-09 16:02:24,367 - Saving N = 6, h = 0.44, Delta = 1.030612244897959, J = 0, t=1
2019-09-09 16:02:24,486 - Successful N = 6, h = 0.44, Delta = 1.0510204081632653, J = 0, t=1
2019-09-09 16:02:24,486 - Saving N = 6, h = 0.44, Delta = 1.0510204081632653, J = 0, t=1
2019-09-09 16:02:24,607 - Successful N = 6, h = 0.44, Delta = 1.0714285714285714, J = 0, t=1
2019-09-09 16:02:24,607 - Saving N = 6, h = 0.44, Delta = 1.0714285714285714, J = 0, t=1
2019-09-09 16:02:24,726 - Successful N = 6, h = 0.44, Delta = 1.0918367346938775, J = 0, t=1
2019-09-09 16:02:24,726 - Saving N = 6, h = 0.44, Delta = 1.0918367346938775, J = 0, t=1
